,,,,,,1,,3,,2,3,,,,,,3,1,,3,,,,1,,3
,,,,,6,,,,,,,,5,,,,,,,,4,,,,,
7,,,,,,7,,,,8,,,,,,8,9,,,,,,,,8,9
,,,,,,,2,,,,3,1,,,,,,,,,,,,,,3
4,,,,,,,,,,,,,,,,,,,,6,,5,,,5,
,,,,,9,,,,,8,,,,,7,,,,,,,8,,,8,
,,,1,,,1,,3,,,3,,,,,,,,2,,,,,1,,3
,,,,,,,5,,,,,,,6,4,,,,,,,,,,5,
,8,,,,,,,,,,,,,,,,,,,,7,,,,,9
,,3,,,,,,,,,,,,,,,,,,,,2,,1,,
,,,,5,,4,,,,,,,,,,,6,,,,,,,,,
,,,,,,,,,7,,,,8,,,,,,,9,,,,,,
1,,,,,,,,,,,,,,,,2,,,,,,,3,1,,
,,,,,,,,6,4,5,,,,,,,,,,,,,,4,,
,,,7,,,,,,,,,,,9,,,,,8,,,,,,,
,,,,2,,,,,,,,,,3,1,,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,,5,,,,6,4,,
,,9,,,,,8,9,,,,,,,,,,,,,,,,7,,
,,,,,,1,,,,,,,2,,,,3,,,3,,,,,,3
,5,,4,,,,,,,,,,,,,,6,,,,,,,,,6
,,,,,,7,8,,,,9,,,,,8,,7,,,,8,,7,8,
,,,1,,,1,,,1,,3,,,,,,3,,,3,,,,,2,3
,,6,,,,,,,4,5,6,4,,,,5,6,,,,,5,,,5,6
7,,9,,8,,7,8,9,,8,,,,,,8,,7,,,,8,9,7,8,9
,2,,,,3,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,4,5,6,,,,,5,6,4,,,,,,,5,6
,,,,,,,8,9,,8,,7,,,,8,,,,,,,,,8,9
