,,,,,,,,3,,2,,,,,,,,1,,,,,,,,
,,,,,6,,,,,,,,5,,,,,,,,4,,,,,
7,,,,,,,,,,,,,,,,,9,,,,,,,,8,
,,,,,,,2,,,,,1,,,,,,,,,,,,,,3
4,,,,,,,,,,,,,,,,,,,,6,,5,,,,
,,,,,9,,,,,8,,,,,7,,,,,,,,,,,
,,,1,,,,,,,,3,,,,,,,,2,,,,,,,
,,,,,,,5,,,,,,,6,4,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,7,,,,,9
,,3,,,,,,,,,,,,,,,,,,,,2,,1,,
,,,,5,,4,,,,,,,,,,,6,,,,,,,,,
,,,,,,,,,7,,,,8,,,,,,,9,,,,,,
1,,,,,,,,,,,,,,,,2,,,,,,,3,,,
,,,,,,,,6,,5,,,,,,,,,,,,,,4,,
,,,7,,,,,,,,,,,9,,,,,8,,,,,,,
,,,,2,,,,,,,,,,3,1,,,,,,,,,,,
,,,,,,,,,4,,,,,,,,,,5,,,,6,,,
,,9,,,,,8,,,,,,,,,,,,,,,,,7,,
,,,,,,1,,,,,,,2,,,,3,,,,,,,,,
,5,,4,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,9,,,,,,,7,,,,8,,,,
,,,,,,,,,1,,,,,,,,,,,3,,,,,2,
,,6,,,,,,,,,,4,,,,5,,,,,,,,,,
,,,,8,,7,,,,,,,,,,,,,,,,,9,,,
,2,,,,3,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,6,,,,,,,4,,,,,,,5,
,,,,,,,,9,,,,7,,,,8,,,,,,,,,,
