,,3,,,,1,,,,,,,,,,,,,,,,2,,,,
,,,,,,,,,,,,,,,,,6,,5,,,,,4,,
,,,7,,,,,,,,9,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,1,,,,,3,,,,,,
,,,4,,,,,6,,5,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,7,,,,,9
,,,,,,,2,,,,,,,,,,3,,,,,,,1,,
,5,,,,,,,,4,,,,,,,,,,,,,,6,,,
,,,,,9,,,,,,,7,,,,,,,8,,,,,,,
,,,,,,,,3,,,,1,,,,,,,,,,,,,2,
4,,,,,6,,,,,,,,,,,,,,,,,5,,,,
,,,,,,,,,,8,,,,,,,9,7,,,,,,,,
,2,,,,,,,,,,3,,,,,,,,,,1,,,,,
,,,,,,,5,,,,,4,,,,,,,,,,,,,,6
,,,,8,,,,,,,,,,,7,,,,,9,,,,,,
1,,,1,,,,,,,,,,,,,2,,,,,,,3,,,
,,,,,,,,,,,6,,5,,,,,4,,,,,,,,
7,,,,,,,,9,,,,,,,,,,,,,,,,,8,
1,2,,1,,3,,,,1,,,,,,1,,,,2,,,,,,,
,,6,,5,6,4,,,,,,,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,9,,,,,,,,8,,7,,
1,2,,1,2,,,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,,,,,6,,,,,5,
,,,,,,,8,,7,,,,,,,,,,,,,,9,,,
,,,,,,,,,,2,,,,,,,,1,,,,,,,,3
,,,,5,,,,,,,,,,6,,,,,,,4,,,,,
,,9,,,,7,,,,,,,,,,8,,,,,,,,,,
